576657,3,29,53,12408.2,28790,4918.4,65.4,3371.2,1547.2,2092.4,4096.2,3071.1,978.8,80.5
576661,8,42,40,12094.4,28941,4783.6,65.1,3265.4,1518.2,2250.4,4226.8,2831.8,780.1,80.6
575727,9,49,33,11852.6,28707,5006.8,67.4,3510.4,1496.4,1861.8,4136.8,3126.2,1025.2,82.2
576656,2,39,43,11760.4,28774,4780.6,65.0,3364.0,1416.6,2189.5,4028.1,2762.2,857.0,80.3
577255,11,22,60,11835.7,28862,4735.7,65.7,3655.4,1080.2,1925.6,4058.6,2605.6,874.4,78.4
576663,12,19,63,11458.6,28645,4624.0,64.4,3395.9,1228.2,1945.9,3797.6,2462.1,774.3,78.3
576674,25,33,49,11764.6,28681,4613.9,64.8,3132.0,1481.9,2234.4,4181.8,2781.1,772.8,80.5
576669,20,54,28,11583.9,28608,4986.6,67.6,3677.2,1309.4,1876.3,4106.4,3255.2,919.3,80.9
576665,14,41,41,11598.9,28790,4618.2,63.8,3178.4,1439.8,2051.8,3990.4,2675.2,825.0,78.9
575729,26,57,25,12010.1,28717,5237.4,71.2,3661.2,1576.2,1941.6,4335.5,3498.8,906.2,86.4
576671,22,53,29,11650.9,28754,4666.1,65.1,2747.8,1918.4,2293.9,3788.8,2524.4,1015.0,84.2
576664,13,48,34,11615.0,28588,4915.5,68.9,3786.0,1129.6,1882.1,4010.7,3085.6,1033.8,81.3
576675,28,48,34,12111.6,28754,4906.8,68.3,3716.4,1190.4,2686.8,4257.2,2856.5,812.0,83.4
577257,27,37,45,12254.0,28681,5062.0,68.2,3833.8,1228.2,1937.2,4328.2,3039.2,896.1,80.3
576670,21,33,49,11509.5,28826,4513.8,65.2,3337.9,1176.0,2106.8,3919.4,2846.4,991.8,79.5
576658,4,39,43,11632.2,28608,4714.0,65.2,3368.4,1345.6,1795.1,4174.6,2887.0,909.2,78.6
576666,15,60,22,12285.8,28682,5154.8,69.0,3552.5,1602.2,2133.0,4808.2,3097.2,891.8,84.5
576667,16,36,46,11939.6,28813,4948.8,66.1,3749.7,1199.2,2276.5,3987.5,2926.1,990.4,80.0
576672,23,33,49,12276.8,28649,5192.4,68.6,3971.6,1220.9,2119.9,4305.0,3213.2,884.5,81.6
576660,6,17,65,11834.0,28681,4544.3,62.8,3351.0,1193.4,2153.2,4076.0,2386.7,807.6,76.7
575728,18,49,33,12273.9,28790,5070.6,65.8,3719.2,1351.4,2118.4,4221.0,2779.6,1110.7,79.0
576659,5,42,40,11660.1,28745,4808.2,65.8,3449.6,1358.6,1785.0,4207.9,3037.8,787.4,79.8
575726,7,51,31,12105.7,28717,4940.2,68.3,3651.1,1289.0,2525.9,4386.2,3200.2,878.7,83.2
576676,29,19,63,12021.0,28826,4769.0,66.6,3623.6,1145.5,2098.2,3716.4,2837.6,1065.8,80.0
577256,19,53,29,11829.9,28793,5031.5,67.7,3720.7,1310.8,2259.1,4303.6,2736.2,791.7,82.5
576673,24,48,34,11714.9,28771,5028.6,69.3,3851.2,1177.4,2041.6,4219.5,2918.8,726.4,82.9
576677,30,39,43,12228.7,28623,5134.4,67.3,3790.3,1344.2,1963.3,4087.6,3020.4,984.6,80.3
576662,10,58,24,11948.7,28826,5017.0,68.7,3545.2,1471.8,2101.0,4234.0,3023.2,986.0,84.0
576668,17,50,32,11923.9,28648,4805.3,67.9,3365.4,1439.8,2233.0,4322.4,3092.8,961.4,82.9
577254,1,32,50,12134.9,28898,5011.2,67.9,3662.7,1348.5,2186.6,3883.1,3123.3,990.4,82.2