TeamID,Name,City,Conference,Division
1,Wizards,Washington,Eastern,Southeast
2,Hornets,Charlotte,Eastern,Southeast
3,Hawks,Atlanta,Eastern,Southeast
4,Heat,Miami,Eastern,Southeast
5,Magic,Orlando,Eastern,Southeast
6,Knicks,New York,Eastern,Atlantic
7,76ers,Philadelphia,Eastern,Atlantic
8,Nets,Brooklyn,Eastern,Atlantic
9,Celtics,Boston,Eastern,Atlantic
10,Raptors,Toronto,Eastern,Atlantic
11,Bulls,Chicago,Eastern,Central
12,Cavaliers,Cleveland,Eastern,Central
13,Pacers,Indiana,Eastern,Central
14,Pistons,Detroit,Eastern,Central
15,Bucks,Milwaukee,Eastern,Central
16,Timberwolves,Minnesota,Western,Northwest
17,Jazz,Utah,Western,Northwest
18,Thunder,Oklahoma City,Western,Northwest
19,Trail Blazers,Portland,Western,Northwest
20,Nuggets,Denver,Western,Northwest
21,Grizzlies,Memphis,Western,Southwest
22,Rockets,Houston,Western,Southwest
23,Pelicans,New Orleans,Western,Southwest
24,Spurs,San Antonio,Western,Southwest
25,Mavericks,Dallas,Western,Southwest
26,Warriors,Golden State,Western,Pacific
27,Lakers,Los Angeles,Western,Pacific
28,Clippers,Los Angeles,Western,Pacific
29,Suns,Phoenix,Western,Pacific
30,Kings,Sacramento,Western,Pacific